lon,lat,plastic_c,bin_c
80.40689300000001,7.2575413,2,0
80.4068412,7.2575903,6,0
80.40683050000001,7.2576022,2,0
80.4068158,7.2576227,2,0
80.4067953,7.2576509,2,0
80.4067677,7.2576754,0,0
80.4067345,7.2577055,3,0
80.4067196,7.2577072,1,0
80.4067218,7.2577199,0,0
80.406721,7.257737,1,0
80.4066837,7.2577873,0,0
80.4065353,7.2579048,2,0
80.40649660000001,7.2579305,3,0
80.40643800000001,7.2579767,7,0
80.4064233,7.2579969,3,0
80.40640110000001,7.2580454,5,0
80.40639150000001,7.2580817,3,0
80.40638460000001,7.2581087,3,0
80.4063783,7.2581356,3,0
80.4063673,7.258209,1,0
80.40634700000001,7.2582605,4,0
80.4063445,7.2582753,3,0
80.4063417,7.2582925,2,0
80.4063392,7.2583129,4,0
80.4063227,7.2583507,6,0
80.4063217,7.2583678,7,0
80.40631900000001,7.2583865,10,0
80.40631590000001,7.2584095,5,0
80.406317,7.2584225,3,0
80.4063098,7.2584507,2,0
80.4063101,7.2584705,3,0
80.4063086,7.2585087,5,0
80.4063026,7.258526,4,0
80.40630060000001,7.2585538,3,0
80.4063029,7.2585808,0,0
80.40630460000001,7.2585937,1,0
80.4062956,7.2586268,5,0
80.40629080000001,7.2586419,2,0
80.4062918,7.2586501,4,0
80.40629290000001,7.2586685,1,0
80.4062835,7.2587112,3,0
80.40628260000001,7.2587511,1,0
80.4062775,7.2587873,0,0
80.4062772,7.2588131,1,0
80.4062792,7.258834,4,0
80.40627660000001,7.2588513,5,0
80.4062686,7.2589069,1,0
80.4062657,7.258944,3,0
80.40626560000001,7.2589702,1,0
80.4062567,7.2590012,0,0
80.4062456,7.2590702,3,0
80.40623830000001,7.2591382,0,0
80.40624240000001,7.2591738,4,0
80.406243,7.2592335,4,0
80.4062428,7.2592696,5,0
80.4062397,7.2593028,3,0
80.4062382,7.259334,3,0
80.40623740000001,7.2593717,0,0
80.40623480000001,7.2594222,1,0
80.4062504,7.2594567,2,0
80.4062519,7.2594655,2,0
80.40625730000001,7.2595363,2,0
80.40626200000001,7.2595552,3,0
80.4062609,7.2595846,4,0
80.40626250000001,7.2596902,3,0
80.40625460000001,7.2597142,1,0
80.4062576,7.2597526,2,0
80.4062643,7.259836,2,0
80.40626710000001,7.2598677,0,0
80.4062703,7.2599057,0,0
80.40628330000001,7.2599531,3,0
80.40629910000001,7.2599724,3,0
80.4063079,7.2599888,5,0
80.4063095,7.2600107,1,0
80.4063076,7.2600329,1,0
80.40631160000001,7.2600622,4,0
80.4062998,7.2601304,3,0
80.4063352,7.2602532,0,0
80.4063613,7.2602899,5,0
80.40638870000001,7.2603348,4,0
80.40640020000001,7.2603525,4,0
80.4064226,7.260367,4,0
80.4064211,7.2603869,4,0
80.4064202,7.2604093,1,0
80.40642100000001,7.2604213,3,0
80.406419,7.2604311,2,0
80.40640300000001,7.2604717,4,0
80.4063955,7.2604884,10,0
80.4063519,7.260533,6,0
80.4063622,7.2605517,3,0
80.40637600000001,7.2605921,0,0
80.40645070000001,7.2606316,0,0
80.4065245,7.2606733,1,0
80.4065468,7.2606862,0,0
80.40656410000001,7.2607028,0,0
80.4065832,7.2607198,1,0
80.40661460000001,7.2607436,0,0
80.40666080000001,7.2607754,0,0
80.40667610000001,7.2607947,1,0
80.4066885,7.2608072,0,0
80.40671560000001,7.2608439,5,0
80.40672400000001,7.2608525,5,0
80.40679540000001,7.260933,4,0
80.4068122,7.2609393,2,0
80.4068283,7.2609439,1,0
80.40684440000001,7.2609499,1,0
80.40686020000001,7.2609553,0,0
80.4068996,7.2609721,0,0
80.406941,7.2609931,0,0
80.4069597,7.2610022,0,0
80.4069765,7.2610141,0,0
80.406991,7.2610309,0,0
80.4070021,7.2610495,1,0
80.40703950000001,7.2611056,2,0
80.40705870000001,7.2611316,1,0
80.40708760000001,7.2611628,0,0
80.40710870000001,7.2611863,0,0
80.4071275,7.2612108,0,0
80.40714000000001,7.2612262,0,0
80.4071598,7.261248,0,0
80.4071749,7.2612705,0,0
80.4071847,7.2612828,1,0
80.4071971,7.2612937,0,0
80.4072271,7.2613072,1,0
80.4072447,7.261308,3,0
80.4072581,7.2613121,7,0
80.40727840000001,7.2613151,3,0
80.4073068,7.2613031,1,0
80.40731530000001,7.2612957,1,0
80.40732360000001,7.2612888,1,0
80.4073426,7.261286,2,0
80.4073611,7.2612873,3,0
80.40738470000001,7.2612959,0,0
80.4073953,7.2613038,2,0
80.4074058,7.2613137,0,0
80.4074209,7.261333,0,0
80.4074459,7.2613628,0,0
80.4074593,7.2613764,0,0
80.4074731,7.2613922,0,0
80.4074894,7.2614069,0,0
80.40753240000001,7.2614501,1,0
80.4075418,7.261466,0,0
80.4075914,7.2614987,3,0
80.4076163,7.2615011,0,0
80.4076261,7.2615077,1,0
80.4076359,7.2615145,4,0
80.4076617,7.261532,0,0
80.40766900000001,7.2615457,0,0
80.40768630000001,7.2615581,0,0
80.4077041,7.2615704,0,0
80.40775860000001,7.2615778,0,0
80.4077699,7.2615842,0,0
80.40779830000001,7.2615911,0,0
80.4078133,7.2615995,0,0
80.4078324,7.2616073,0,0
80.40786960000001,7.2616087,0,0
80.40788520000001,7.2616174,0,0
80.4079004,7.2616195,0,0
80.4079121,7.2616235,0,0
80.40792040000001,7.261632,0,0
80.40792400000001,7.2616296,1,0
80.4079191,7.2616225,3,0
80.40791890000001,7.2615991,0,0
80.4079207,7.2615934,1,0
80.4078901,7.2616196,0,0
80.40787490000001,7.2615647,0,0
80.40786650000001,7.2615511,0,0
80.4078458,7.2615105,0,0
80.40783660000001,7.2615126,0,0
80.4078233,7.2615078,0,0
80.40781510000001,7.2615021,0,0
80.40778490000001,7.2614942,0,0
80.4077663,7.2614873,0,0
80.40773730000001,7.2614732,0,0
80.40769350000001,7.2614732,0,0
80.4076656,7.2614766,1,0
80.40765090000001,7.2614755,0,0
80.4076074,7.2614743,0,0
80.40754000000001,7.2614565,1,0
80.4074956,7.2614456,0,0
80.4074628,7.2614169,0,0
80.4074542,7.2614036,0,0
80.4074451,7.2613943,1,0
80.407424,7.2613833,2,0
80.40740930000001,7.2613757,0,0
80.4074004,7.2613716,0,0
80.40738730000001,7.2613707,2,0
80.4073798,7.2613719,3,0
80.4073642,7.2613786,4,0
80.4073499,7.2613819,1,0
80.40733080000001,7.2613776,0,0
80.4073159,7.2613687,0,0
80.40729420000001,7.2613496,0,0
80.4072388,7.2613114,0,0
80.40721810000001,7.2612895,0,0
80.40718310000001,7.2612604,0,0
80.4071481,7.2612312,2,0
80.4071291,7.261217,0,0
80.40710340000001,7.2611929,1,0
80.40707400000001,7.2611594,2,0
80.407044,7.261121,0,0
80.40702990000001,7.2611008,0,0
80.4070069,7.2610735,0,0
80.4069619,7.2610341,3,0
80.4069406,7.261021,0,0
80.4069149,7.2610132,1,0
80.4068903,7.2610038,0,0
80.40685760000001,7.2609916,0,0
80.4068415,7.2609854,2,0
80.40683030000001,7.26098,1,0
80.40682240000001,7.2609758,0,0
80.4068089,7.2609635,1,0
80.4067923,7.2609501,1,0
80.40679390000001,7.260946,3,0
80.4067919,7.2609204,5,0
80.40678940000001,7.2608941,5,0
80.4067878,7.2608742,0,0
80.4067804,7.2608501,0,0
80.406687,7.2607212,1,0
80.4066806,7.2607052,1,0
80.4066743,7.2606917,0,0
80.4066715,7.2606823,1,0
80.40664600000001,7.2606349,1,0
80.4066456,7.2605873,4,0
80.40664240000001,7.2605628,6,0
80.4066318,7.2605584,4,0
80.40662560000001,7.2605478,4,0
80.4066164,7.2605443,0,0
80.40661800000001,7.2605052,5,0
80.40661650000001,7.2604934,5,0
80.40659690000001,7.2604755,4,0
80.4065882,7.2604384,1,0
80.4065704,7.2603842,2,0
80.4065576,7.2603632,1,0
80.40655240000001,7.260338,5,0
80.4065702,7.2602194,4,0
80.4065619,7.2601717,5,0
80.406554,7.2601142,3,0
80.4065511,7.2600746,1,0
80.4065173,7.2600528,3,0
80.4064913,7.2599783,1,0
80.40650720000001,7.2599442,1,0
80.40652250000001,7.2598978,1,0
80.4065429,7.2598355,2,0
80.40655170000001,7.2598088,2,0
80.4065156,7.2595951,6,0
80.4065138,7.259579,5,0
80.40651000000001,7.2595662,4,0
80.40648490000001,7.2595558,5,0
80.40647940000001,7.2595407,6,0
80.4064721,7.2595214,4,0
80.4064553,7.259481,3,0
80.4064489,7.2594616,1,0
80.40643650000001,7.2594334,0,0
